Date,Open,High,Low,Close,Adj Close,Volume
2015-03-23,4.480000,4.490000,4.430000,4.460000,2.911339,190883197
2015-03-24,4.460000,4.460000,4.360000,4.410000,2.878700,247956764
2015-03-25,4.410000,4.430000,4.370000,4.400000,2.872173,232778869
2015-03-26,4.390000,4.390000,4.340000,4.360000,2.846062,273732810
2015-03-27,4.330000,4.360000,4.310000,4.320000,2.819952,343841033
2015-03-30,4.400000,4.480000,4.400000,4.460000,2.911339,564808297
2015-03-31,4.540000,4.580000,4.470000,4.480000,2.924395,545321123
2015-04-01,4.510000,4.590000,4.490000,4.570000,2.983144,438618862
2015-04-02,4.620000,4.630000,4.560000,4.620000,3.015781,432501154
2015-04-08,4.820000,4.850000,4.730000,4.840000,3.159391,709715460
2015-04-09,4.930000,5.100000,4.900000,4.910000,3.205084,748214110
2015-04-10,5.000000,5.030000,4.910000,5.020000,3.276888,618759546
2015-04-13,5.050000,5.470000,5.040000,5.460000,3.564106,925019680
2015-04-14,5.300000,5.450000,5.290000,5.340000,3.485774,747069182
2015-04-15,5.400000,5.540000,5.340000,5.530000,3.609799,752222463
2015-04-16,5.460000,5.540000,5.390000,5.520000,3.603272,585780824
2015-04-17,5.530000,5.600000,5.370000,5.380000,3.511884,542321424
2015-04-20,5.500000,5.530000,5.160000,5.240000,3.420496,692688671
2015-04-21,5.270000,5.490000,5.270000,5.460000,3.564106,489768890
2015-04-22,5.410000,5.490000,5.380000,5.470000,3.570633,413174319
2015-04-23,5.520000,5.540000,5.380000,5.390000,3.518412,398872318
2015-04-24,5.420000,5.420000,5.250000,5.390000,3.518412,417540371
2015-04-27,5.400000,5.470000,5.390000,5.470000,3.570633,321892567
2015-04-28,5.470000,5.680000,5.420000,5.550000,3.622855,582830578
2015-04-29,5.550000,5.550000,5.450000,5.530000,3.609799,358454015
2015-04-30,5.430000,5.450000,5.320000,5.330000,3.479246,638168778
2015-05-04,5.330000,5.370000,5.260000,5.290000,3.453135,385303480
2015-05-05,5.300000,5.330000,5.090000,5.120000,3.342165,482915373
2015-05-06,5.150000,5.270000,5.100000,5.120000,3.342165,477869175
2015-05-07,5.070000,5.130000,5.030000,5.040000,3.289944,403252874
2015-05-08,5.100000,5.170000,5.080000,5.150000,3.361748,332779350
2015-05-11,5.240000,5.240000,5.130000,5.220000,3.407441,334845777
2015-05-12,5.190000,5.190000,5.100000,5.110000,3.335637,277657763
2015-05-13,5.190000,5.190000,5.060000,5.070000,3.309527,269418363
2015-05-14,5.090000,5.100000,5.040000,5.060000,3.302999,273953175
2015-05-15,5.090000,5.180000,5.030000,5.160000,3.368276,290298055
2015-05-18,5.130000,5.160000,5.070000,5.120000,3.342165,262238375
2015-05-19,5.120000,5.220000,5.100000,5.190000,3.387858,279889600
2015-05-20,5.200000,5.240000,5.170000,5.220000,3.407441,254715976
2015-05-21,5.200000,5.210000,5.150000,5.160000,3.368276,194862323
2015-05-22,5.240000,5.280000,5.220000,5.270000,3.440080,284250682
2015-05-26,5.390000,5.430000,5.370000,5.410000,3.531467,477289854
2015-05-27,5.410000,5.410000,5.330000,5.390000,3.518412,335043817
2015-05-28,5.450000,5.450000,5.120000,5.190000,3.387858,615995160
2015-05-29,5.140000,5.190000,5.100000,5.150000,3.361748,483350855
2015-06-01,5.120000,5.270000,5.070000,5.210000,3.400914,377811853
2015-06-02,5.220000,5.230000,5.150000,5.220000,3.407441,221958517
2015-06-03,5.190000,5.220000,5.150000,5.180000,3.381331,252371827
2015-06-04,5.210000,5.340000,5.070000,5.230000,3.413969,591399399
2015-06-05,5.220000,5.270000,5.150000,5.160000,3.368276,289768141
2015-06-08,5.150000,5.440000,5.140000,5.350000,3.492301,772367075
2015-06-09,5.400000,5.480000,5.260000,5.320000,3.472718,723759545
2015-06-10,5.320000,5.350000,5.180000,5.190000,3.387858,377147020
2015-06-11,5.260000,5.270000,5.200000,5.250000,3.427025,280563901
2015-06-12,5.290000,5.350000,5.250000,5.320000,3.472718,346560896
2015-06-15,5.280000,5.290000,5.180000,5.190000,3.387858,269624345
2015-06-16,5.180000,5.190000,5.100000,5.100000,3.329109,387306160
2015-06-17,5.110000,5.230000,5.100000,5.220000,3.407441,393119458
2015-06-18,5.200000,5.210000,5.120000,5.160000,3.368276,269580864
2015-06-19,5.180000,5.250000,5.110000,5.140000,3.355220,367952952
2015-06-22,5.150000,5.290000,5.150000,5.240000,3.420496,217881356
2015-06-23,5.290000,5.410000,5.290000,5.400000,3.524940,569511275
2015-06-24,5.440000,5.480000,5.410000,5.440000,3.551051,379591648
2015-06-25,5.220000,5.250000,5.110000,5.130000,3.503818,528547111
2015-06-26,5.100000,5.110000,5.000000,5.030000,3.435517,590606142
2015-06-29,5.050000,5.080000,4.810000,4.920000,3.360386,663848559
2015-06-30,4.890000,5.070000,4.880000,5.040000,3.442347,523764253
2015-07-02,5.070000,5.080000,4.970000,5.030000,3.435517,415774142
2015-07-03,5.040000,5.050000,4.920000,4.970000,3.394536,362415540
2015-07-06,5.020000,5.080000,4.660000,4.800000,3.278425,819768480
2015-07-07,4.780000,4.850000,4.610000,4.660000,3.182804,770012662
2015-07-08,4.500000,4.500000,4.070000,4.340000,2.964243,1095236992
2015-07-09,4.210000,4.470000,4.160000,4.310000,2.943753,947335876
2015-07-10,4.400000,4.510000,4.350000,4.450000,3.039373,634220295
2015-07-13,4.450000,4.590000,4.420000,4.530000,3.094014,479246267
2015-07-14,4.500000,4.560000,4.420000,4.490000,3.066693,435259865
2015-07-15,4.490000,4.520000,4.400000,4.440000,3.032543,310324527
2015-07-16,4.410000,4.480000,4.390000,4.450000,3.039373,252090304
2015-07-17,4.500000,4.540000,4.460000,4.470000,3.053033,258298480
2015-07-20,4.470000,4.500000,4.430000,4.460000,3.046203,208174969
2015-07-21,4.470000,4.510000,4.420000,4.490000,3.066693,177128582
2015-07-22,4.450000,4.460000,4.410000,4.440000,3.032543,262717207
2015-07-23,4.400000,4.490000,4.400000,4.470000,3.053033,197032578
2015-07-24,4.430000,4.450000,4.400000,4.420000,3.018883,190209744
2015-07-27,4.390000,4.390000,4.250000,4.290000,2.930092,528351539
2015-07-28,4.330000,4.340000,4.180000,4.260000,2.909603,448906188
2015-07-29,4.300000,4.330000,4.240000,4.260000,2.909603,248406909
2015-07-30,4.320000,4.320000,4.210000,4.220000,2.882282,357567404
2015-07-31,4.240000,4.280000,4.230000,4.240000,2.895942,236062638
2015-08-03,4.240000,4.240000,4.150000,4.230000,2.889112,290019761
2015-08-04,4.190000,4.260000,4.190000,4.220000,2.882282,189125305
2015-08-05,4.220000,4.270000,4.190000,4.210000,2.875452,192177549
2015-08-06,4.200000,4.220000,4.170000,4.190000,2.861792,174570081
2015-08-07,4.190000,4.290000,4.190000,4.250000,2.902772,202925000
2015-08-10,4.240000,4.250000,4.160000,4.230000,2.889112,179199086
2015-08-11,4.280000,4.310000,4.180000,4.210000,2.875452,289946921
2015-08-12,4.160000,4.180000,4.110000,4.130000,2.820812,323513791
2015-08-13,4.120000,4.180000,4.090000,4.100000,2.800321,381046530
2015-08-14,4.120000,4.150000,4.100000,4.120000,2.813981,177536816
2015-08-17,4.140000,4.140000,4.030000,4.080000,2.786661,235496390
2015-08-18,4.120000,4.130000,4.010000,4.030000,2.752511,247429400
2015-08-19,4.050000,4.090000,4.000000,4.000000,2.732021,325131719
2015-08-20,3.950000,3.990000,3.860000,3.950000,2.697871,419902503
2015-08-21,3.880000,3.900000,3.820000,3.870000,2.643230,415909395
2015-08-24,3.700000,3.760000,3.650000,3.700000,2.527119,644720755
2015-08-25,3.650000,3.740000,3.550000,3.610000,2.465649,734090934
2015-08-26,3.610000,3.660000,3.520000,3.530000,2.411009,688468023
2015-08-27,3.650000,3.720000,3.600000,3.680000,2.513459,538668127
2015-08-28,3.810000,3.810000,3.530000,3.550000,2.424669,560090896
2015-08-31,3.550000,3.580000,3.500000,3.540000,2.417839,650759211
2015-09-01,3.530000,3.530000,3.420000,3.440000,2.349538,462719494
2015-09-02,3.400000,3.430000,3.320000,3.360000,2.294898,492141360
2015-09-04,3.370000,3.400000,3.300000,3.320000,2.267578,419188685
2015-09-07,3.300000,3.370000,3.250000,3.260000,2.226597,329213631
2015-09-08,3.250000,3.430000,3.250000,3.380000,2.308558,448664024
2015-09-09,3.470000,3.690000,3.450000,3.630000,2.479309,644561420
2015-09-10,3.500000,3.580000,3.470000,3.490000,2.383688,571764620
2015-09-11,3.520000,3.630000,3.500000,3.570000,2.438329,560887095
2015-09-14,3.600000,3.640000,3.550000,3.570000,2.438329,329505446
2015-09-15,3.570000,3.590000,3.540000,3.570000,2.438329,187177461
2015-09-16,3.600000,3.680000,3.560000,3.630000,2.479309,442772975
2015-09-17,3.660000,3.680000,3.560000,3.570000,2.438329,394340234
2015-09-18,3.560000,3.600000,3.530000,3.540000,2.417839,338057691
2015-09-21,3.500000,3.550000,3.460000,3.530000,2.411009,233389612
2015-09-22,3.530000,3.570000,3.470000,3.490000,2.383688,232400762
2015-09-23,3.460000,3.460000,3.310000,3.390000,2.315388,470030473
2015-09-24,3.390000,3.400000,3.330000,3.360000,2.294898,265814185
2015-09-25,3.330000,3.440000,3.330000,3.380000,2.308558,319243764
2015-09-29,3.300000,3.310000,3.260000,3.300000,2.253917,462457086
2015-09-30,3.320000,3.370000,3.300000,3.330000,2.274407,383689924
2015-10-02,3.380000,3.430000,3.340000,3.390000,2.315388,357297065
2015-10-05,3.460000,3.460000,3.420000,3.440000,2.349538,183142339
2015-10-06,3.480000,3.500000,3.410000,3.440000,2.349538,185513156
2015-10-07,3.420000,3.640000,3.420000,3.610000,2.465649,558242954
2015-10-08,3.620000,3.620000,3.540000,3.590000,2.451989,319480046
2015-10-09,3.650000,3.740000,3.630000,3.650000,2.492969,468964653
2015-10-12,3.680000,3.730000,3.660000,3.700000,2.527119,323109535
2015-10-13,3.710000,3.710000,3.630000,3.660000,2.499799,259234156
2015-10-14,3.610000,3.660000,3.600000,3.610000,2.465649,213574860
2015-10-15,3.630000,3.730000,3.630000,3.700000,2.527119,302425539
2015-10-16,3.740000,3.750000,3.710000,3.730000,2.547610,334316425
2015-10-19,3.730000,3.790000,3.700000,3.770000,2.574929,201105567
2015-10-20,3.740000,3.770000,3.720000,3.740000,2.554440,250032582
2015-10-22,3.740000,3.800000,3.710000,3.790000,2.588590,216528833
2015-10-23,3.850000,3.860000,3.810000,3.830000,2.615910,253335129
2015-10-26,3.870000,3.880000,3.780000,3.810000,2.602250,319134173
2015-10-27,3.770000,3.810000,3.730000,3.810000,2.602250,288933484
2015-10-28,3.810000,3.810000,3.700000,3.730000,2.547610,252454879
2015-10-29,3.760000,3.760000,3.680000,3.720000,2.540780,231928956
2015-10-30,3.680000,3.720000,3.650000,3.670000,2.506629,271918443
2015-11-02,3.600000,3.640000,3.550000,3.570000,2.438329,368068553
2015-11-03,3.600000,3.630000,3.550000,3.560000,2.431499,388072352
2015-11-04,3.560000,3.710000,3.550000,3.630000,2.479309,545133240
2015-11-05,3.610000,3.670000,3.600000,3.650000,2.492969,257847300
2015-11-06,3.610000,3.630000,3.590000,3.590000,2.451989,225741519
2015-11-09,3.550000,3.650000,3.540000,3.580000,2.445159,391004895
2015-11-10,3.540000,3.560000,3.510000,3.510000,2.397348,416238649
2015-11-11,3.500000,3.520000,3.470000,3.490000,2.383688,429124208
2015-11-12,3.480000,3.570000,3.480000,3.530000,2.411009,476404268
2015-11-13,3.480000,3.500000,3.460000,3.480000,2.376858,416380798
2015-11-16,3.420000,3.460000,3.410000,3.430000,2.342708,404908013
2015-11-17,3.490000,3.540000,3.460000,3.480000,2.376858,335204480
2015-11-18,3.480000,3.500000,3.450000,3.460000,2.363198,219205148
2015-11-19,3.510000,3.540000,3.500000,3.520000,2.404178,230573585
2015-11-20,3.530000,3.580000,3.500000,3.550000,2.424669,221604690
2015-11-23,3.570000,3.580000,3.520000,3.540000,2.417839,165319242
2015-11-24,3.520000,3.530000,3.460000,3.510000,2.397348,233220151
2015-11-25,3.480000,3.530000,3.470000,3.490000,2.383688,295401042
2015-11-26,3.550000,3.580000,3.480000,3.500000,2.390518,235572503
2015-11-27,3.500000,3.520000,3.440000,3.450000,2.356368,432073772
2015-11-30,3.430000,3.490000,3.410000,3.440000,2.349538,481914610
2015-12-01,3.450000,3.550000,3.450000,3.500000,2.390518,403223289
2015-12-02,3.510000,3.540000,3.480000,3.520000,2.404178,303298067
2015-12-03,3.500000,3.530000,3.480000,3.510000,2.397348,185845100
2015-12-04,3.470000,3.490000,3.450000,3.470000,2.370028,313262635
2015-12-07,3.500000,3.500000,3.430000,3.440000,2.349538,247198513
2015-12-08,3.420000,3.430000,3.380000,3.410000,2.329048,362037451
2015-12-09,3.370000,3.390000,3.360000,3.360000,2.294898,357654221
2015-12-10,3.350000,3.390000,3.320000,3.330000,2.274407,377971653
2015-12-11,3.320000,3.340000,3.300000,3.330000,2.274407,276898941
2015-12-14,3.300000,3.360000,3.280000,3.330000,2.274407,344227888
2015-12-15,3.310000,3.380000,3.300000,3.330000,2.274407,254643370
2015-12-16,3.380000,3.440000,3.370000,3.400000,2.322218,282388153
