,MAPE,RMSE,R2
GVR,0.030045799911022186,1091.2362060546875,0.988513171672821
POW,0.018573492765426636,337.4067687988281,0.981246292591095
TCB,0.037161774933338165,2591.754638671875,0.9549956917762756
TPB,0.05204175412654877,1005.2710571289062,0.9873279333114624
VHM,0.018163392320275307,1603.069580078125,0.9719429016113281
