,MAPE,RMSE,R2
GVR,0.03125987574458122,1129.8563232421875,0.9876857399940491
POW,0.0184948667883873,334.4696044921875,0.9815713763237
TCB,0.030638542026281357,2015.020263671875,0.9727964401245117
TPB,0.04929503798484802,945.55224609375,0.9887887835502625
VHM,0.016506696119904518,1498.024169921875,0.9754994511604309
