,MSE,MAPE,RMSE,R2
BOC,0.00273045408539474,0.011639018543064594,0.08491231501102448,0.9316369891166687
BOCHK,0.0023792798165231943,0.010820811614394188,0.07926402986049652,0.9404293894767761
BOCOM,0.0021807376760989428,0.010050582699477673,0.07588482648134232,0.9454003572463989
CCB,0.002167455153539777,0.0102365268394351,0.07565337419509888,0.9457329511642456
HSB,0.0028212973847985268,0.011905848979949951,0.08631331473588943,0.9293625354766846
HSBC,0.0022969855926930904,0.010240505449473858,0.07788115739822388,0.9424898624420166
ICBC,0.002277810825034976,0.010451173409819603,0.07755540311336517,0.9429699182510376
