,MSE,MAPE,RMSE,R2
BOC,0.001305319252423942,0.010647794231772423,0.04895506426692009,0.9600289463996887
BOCHK,0.003115694038569927,0.014010020531713963,0.063046894967556,0.9577873945236206
BOCOM,0.0016541116638109088,0.007457477040588856,0.010777758434414864,0.9858008027076721
CCB,0.0021892862860113382,0.010234045796096325,0.08492350578308105,0.9567694664001465
HSB,0.007156239822506905,0.012546309269964695,3.0284852981567383,0.9628949761390686
HSBC,0.0017809018027037382,0.009072822518646717,0.47264811396598816,0.9552545547485352
ICBC,0.0022614055778831244,0.01035048346966505,0.07727561891078949,0.9433806538581848
