,MSE,MAPE,RMSE,R2
BOC,0.002426314167678356,0.01055052038282156,0.08004363626241684,0.9392517805099487
BOCHK,0.0026687015779316425,0.011267725378274918,0.08394664525985718,0.9331830739974976
BOCOM,0.0027804523706436157,0.011601525358855724,0.08568622916936874,0.930385172367096
CCB,0.002253404352813959,0.010240472853183746,0.07713878899812698,0.9435809850692749
HSB,0.003163107903674245,0.012357442639768124,0.09139245748519897,0.920804500579834
HSBC,0.0025826292112469673,0.011005342938005924,0.08258181065320969,0.9353380799293518
ICBC,0.00265361531637609,0.011072875931859016,0.08370901644229889,0.933560848236084
